Data,Receita,Despesa,KM,Obs,Data_str
2025-06-02,0.0,25.327,43.0,integração na Ayko,2025-06-02
2025-06-03,55.47,30.628,52.0,,2025-06-03
2025-06-04,85.98,34.751,59.0,,2025-06-04
2025-06-05,62.02,18.259,31.0,,2025-06-05
2025-06-06,35.59,67.735,115.0,,2025-06-06
2025-06-09,40.24,17.081,29.0,,2025-06-09
2025-06-10,82.29,24.149,41.0,,2025-06-10
2025-06-11,20.81,34.751,59.0,,2025-06-11
2025-06-12,18.38,30.039,51.0,,2025-06-12
2025-06-13,59.02,21.793,37.0,,2025-06-13
2025-06-16,50.93,21.204,36.0,,2025-06-16
2025-06-17,55.25,19.436999999999998,33.0,,
